"zip","name","empflag","emp_nf","emp","qp1_nf","qp1","ap_nf","ap","est","city","stabbr","cty_name"
"07041","MILLBURN, NJ",,"G",4490,"G",54282,"G",232220,444,"MILLBURN","NJ","ESSEX"
"07042","MONTCLAIR, NJ",,"G",9257,"G",85582,"G",385839,975,"MONTCLAIR","NJ","ESSEX"
"07043","MONTCLAIR, NJ",,"G",2276,"G",16892,"G",83837,347,"MONTCLAIR","NJ","ESSEX"
"07044","VERONA, NJ",,"G",3362,"G",29296,"G",130216,425,"VERONA","NJ","ESSEX"
"07045","MONTVILLE, NJ",,"G",2909,"G",30175,"G",134461,338,"MONTVILLE","NJ","MORRIS"
"07046","MOUNTAIN LAKES, NJ",,"G",2229,"G",20432,"G",92697,153,"MOUNTAIN LAKES","NJ","MORRIS"
"07047","NORTH BERGEN, NJ",,"G",17450,"H",206161,"G",795201,1188,"NORTH BERGEN","NJ","HUDSON"
"07050","ORANGE, NJ",,"G",4078,"G",32260,"G",135771,504,"ORANGE","NJ","ESSEX"
"07051","ORANGE, NJ",,"H",137,"G",1896,"H",8321,16,"ORANGE","NJ","ESSEX"
"07052","WEST ORANGE, NJ",,"G",14184,"H",163011,"H",719794,1139,"WEST ORANGE","NJ","ESSEX"
"07054","PARSIPPANY, NJ",,"G",58714,"G",1662748,"G",5570887,1857,"PARSIPPANY","NJ","MORRIS"
"07055","PASSAIC, NJ",,"G",11743,"G",96812,"G",409932,1252,"PASSAIC","NJ","PASSAIC"
"07057","WALLINGTON, NJ",,"G",1772,"G",15822,"G",76118,218,"WALLINGTON","NJ","BERGEN"
"07058","PINE BROOK, NJ",,"G",5226,"G",88141,"G",360710,333,"PINE BROOK","NJ","MORRIS"
"07059","WARREN, NJ",,"G",12126,"H",450295,"H",1454165,742,"WARREN","NJ","SOMERSET"
"07060","PLAINFIELD, NJ",,"G",7242,"G",53542,"G",232014,864,"PLAINFIELD","NJ","UNION"
"07061","PLAINFIELD, NJ",,"G",94,"G",735,"G",4090,14,"PLAINFIELD","NJ","UNION"
"07062","PLAINFIELD, NJ",,"G",1148,"H",11050,"H",47720,170,"PLAINFIELD","NJ","UNION"
"07063","PLAINFIELD, NJ",,"H",1042,"J",12806,"J",53539,91,"PLAINFIELD","NJ","UNION"
"07064","PORT READING, NJ",,"J",2366,"H",16651,"H",77221,64,"PORT READING","NJ","MIDDLESEX"
"07065","RAHWAY, NJ",,"G",9151,"H",215252,"H",762946,555,"RAHWAY","NJ","UNION"
"07066","CLARK, NJ",,"G",7399,"G",82583,"G",363234,496,"CLARK","NJ","UNION"
"07067","COLONIA, NJ",,"G",1905,"G",13012,"G",60423,306,"COLONIA","NJ","MIDDLESEX"
"07068","ROSELAND, NJ",,"G",9370,"G",311663,"G",1210311,414,"ROSELAND","NJ","ESSEX"
"07069","WATCHUNG, NJ",,"G",3280,"G",25779,"G",112907,264,"WATCHUNG","NJ","SOMERSET"
"07070","RUTHERFORD, NJ",,"G",6209,"G",93528,"G",356938,529,"RUTHERFORD","NJ","BERGEN"
"07071","LYNDHURST, NJ",,"G",16292,"G",194165,"G",820933,645,"LYNDHURST","NJ","BERGEN"
"07072","CARLSTADT, NJ",,"G",12895,"G",192636,"G",806088,512,"CARLSTADT","NJ","BERGEN"
"07073","EAST RUTHERFORD, NJ",,"G",11967,"G",214581,"G",904518,434,"EAST RUTHERFORD","NJ","BERGEN"
"07074","MOONACHIE, NJ",,"G",6870,"G",87262,"G",356521,236,"MOONACHIE","NJ","BERGEN"
"07075","WOOD RIDGE, NJ",,"G",2137,"G",21894,"G",101959,168,"WOOD RIDGE","NJ","BERGEN"
"07076","SCOTCH PLAINS, NJ",,"G",4747,"G",32917,"G",154605,567,"SCOTCH PLAINS","NJ","UNION"
"07077","SEWAREN, NJ",,"H",1000,"J",30029,"J",100142,37,"SEWAREN","NJ","MIDDLESEX"
"07078","SHORT HILLS, NJ",,"G",11501,"G",241046,"G",919221,582,"SHORT HILLS","NJ","ESSEX"
"07079","SOUTH ORANGE, NJ",,"H",7690,"H",58964,"H",251301,430,"SOUTH ORANGE","NJ","ESSEX"
"07080","SOUTH PLAINFIELD, NJ",,"G",21458,"G",318919,"G",1290663,1067,"SOUTH PLAINFIELD","NJ","MIDDLESEX"
"07081","SPRINGFIELD, NJ",,"G",9899,"G",110591,"G",486870,734,"SPRINGFIELD","NJ","UNION"
"07082","TOWACO, NJ",,"H",1113,"G",12168,"G",58900,166,"TOWACO","NJ","MORRIS"
"07083","UNION, NJ",,"G",26395,"G",308756,"G",1373077,1583,"UNION","NJ","UNION"
"07086","WEEHAWKEN, NJ",,"H",3695,"J",209357,"J",540046,197,"WEEHAWKEN","NJ","HUDSON"
"07087","UNION CITY, NJ",,"G",9549,"G",60533,"G",259196,1277,"UNION CITY","NJ","HUDSON"
"07088","VAUXHALL, NJ",,"H",1658,"G",11920,"G",54958,82,"VAUXHALL","NJ","UNION"
"07090","WESTFIELD, NJ",,"G",8282,"G",84934,"G",361677,905,"WESTFIELD","NJ","UNION"
"07091","WESTFIELD, NJ",,"G",262,"G",4959,"G",23842,18,"WESTFIELD","NJ","UNION"
"07092","MOUNTAINSIDE, NJ",,"G",5255,"G",64232,"G",274085,354,"MOUNTAINSIDE","NJ","UNION"
"07093","WEST NEW YORK, NJ",,"G",8615,"G",49500,"G",217526,1097,"WEST NEW YORK","NJ","HUDSON"
"07094","SECAUCUS, NJ",,"G",32216,"G",522558,"G",2100174,925,"SECAUCUS","NJ","HUDSON"
"07095","WOODBRIDGE, NJ",,"G",15706,"G",169023,"G",725759,924,"WOODBRIDGE","NJ","MIDDLESEX"
"07096","SECAUCUS, NJ",,"G",1026,"G",16664,"G",74570,25,"SECAUCUS","NJ","HUDSON"
"07097","JERSEY CITY, NJ",,"J",54,"H",333,"H",1423,10,"JERSEY CITY","NJ","HUDSON"
"07099","KEARNY, NJ","A","D",0,"D",0,"D",0,2,"KEARNY","NJ","HUDSON"
"07101","NEWARK, NJ",,"H",764,"H",28672,"H",72338,32,"NEWARK","NJ","ESSEX"
"07102","NEWARK, NJ",,"H",27747,"H",1134815,"H",2955739,1157,"NEWARK","NJ","ESSEX"
"07103","NEWARK, NJ",,"H",7180,"H",107965,"H",439688,339,"NEWARK","NJ","ESSEX"
"07104","NEWARK, NJ",,"G",6857,"G",68515,"G",314514,641,"NEWARK","NJ","ESSEX"
"07105","NEWARK, NJ",,"G",23565,"H",293627,"G",1161053,1455,"NEWARK","NJ","ESSEX"
"07106","NEWARK, NJ",,"G",976,"G",6020,"G",23351,158,"NEWARK","NJ","ESSEX"
"07107","NEWARK, NJ",,"G",3903,"G",29870,"G",128108,435,"NEWARK","NJ","ESSEX"
"07108","NEWARK, NJ",,"G",1267,"G",9356,"G",40402,166,"NEWARK","NJ","ESSEX"
"07109","BELLEVILLE, NJ",,"G",8146,"H",90101,"H",388225,673,"BELLEVILLE","NJ","ESSEX"
"07110","NUTLEY, NJ",,"G",4785,"G",49944,"G",227277,681,"NUTLEY","NJ","ESSEX"
"07111","IRVINGTON, NJ",,"G",5733,"G",57078,"G",244024,662,"IRVINGTON","NJ","ESSEX"
"07112","NEWARK, NJ",,"H",4671,"H",70594,"H",307236,209,"NEWARK","NJ","ESSEX"
"07114","NEWARK, NJ",,"H",36885,"H",614204,"H",2366765,679,"NEWARK","NJ","ESSEX"
"07193","NEWARK, NJ","A","D",0,"D",0,"D",0,1,"NEWARK","NJ","ESSEX"
"07201","ELIZABETH, NJ",,"G",20347,"G",215720,"G",929580,955,"ELIZABETH","NJ","UNION"
"07202","ELIZABETH, NJ",,"G",5659,"G",60089,"G",260346,538,"ELIZABETH","NJ","UNION"
"07203","ROSELLE, NJ",,"G",3527,"G",27475,"G",123131,325,"ROSELLE","NJ","UNION"
"07204","ROSELLE PARK, NJ",,"G",1582,"G",12555,"G",54127,277,"ROSELLE PARK","NJ","UNION"
"07205","HILLSIDE, NJ",,"H",5416,"H",60337,"H",271111,466,"HILLSIDE","NJ","UNION"
"07206","ELIZABETHPORT, NJ",,"G",5912,"G",58197,"G",249696,333,"ELIZABETHPORT","NJ","UNION"
"07207","ELIZABETH, NJ",,"G",6311,"G",113033,"G",477107,74,"ELIZABETH","NJ","UNION"
"07208","ELIZABETH, NJ",,"G",3586,"G",28307,"G",122937,446,"ELIZABETH","NJ","UNION"
"07302","JERSEY CITY, NJ",,"G",27132,"G",851611,"G",2758502,1268,"JERSEY CITY","NJ","HUDSON"
"07303","JERSEY CITY, NJ",,"G",394,"G",4214,"G",18659,18,"JERSEY CITY","NJ","HUDSON"
"07304","JERSEY CITY, NJ",,"G",5397,"G",44053,"G",181730,545,"JERSEY CITY","NJ","HUDSON"
"07305","JERSEY CITY, NJ",,"G",12275,"G",147106,"G",627855,610,"JERSEY CITY","NJ","HUDSON"
"07306","JERSEY CITY, NJ",,"G",14975,"H",169790,"H",807466,1217,"JERSEY CITY","NJ","HUDSON"
"07307","JERSEY CITY, NJ",,"G",4266,"G",25307,"G",113624,512,"JERSEY CITY","NJ","HUDSON"
"07308","JERSEY CITY, NJ","A","D",0,"D",0,"D",0,1,"JERSEY CITY","NJ","HUDSON"
"07310","JERSEY CITY, NJ",,"G",22452,"G",827925,"G",2679437,550,"JERSEY CITY","NJ","HUDSON"
"07311","JERSEY CITY, NJ",,"G",9461,"G",395316,"G",1483003,179,"JERSEY CITY","NJ","HUDSON"
"07395","JERSEY CITY, NJ","A","D",0,"D",0,"D",0,1,"JERSEY CITY","NJ","HUDSON"
"07399","JERSEY CITY, NJ","G","D",0,"D",0,"D",0,11,"JERSEY CITY","NJ","HUDSON"
"07401","ALLENDALE, NJ",,"G",3040,"H",60735,"G",224818,216,"ALLENDALE","NJ","BERGEN"
"07403","BLOOMINGDALE, NJ",,"G",1036,"G",9008,"G",40053,154,"BLOOMINGDALE","NJ","PASSAIC"
"07405","BUTLER, NJ",,"H",4567,"G",37899,"G",178251,520,"BUTLER","NJ","MORRIS"
"07407","ELMWOOD PARK, NJ",,"H",10874,"H",152108,"H",604841,534,"ELMWOOD PARK","NJ","BERGEN"
"07410","FAIR LAWN, NJ",,"G",11409,"G",131865,"G",564597,1075,"FAIR LAWN","NJ","BERGEN"
"07416","FRANKLIN, NJ",,"G",1543,"G",11443,"G",49324,160,"FRANKLIN","NJ","SUSSEX"
"07417","FRANKLIN LAKES, NJ",,"G",6833,"G",233436,"H",803830,390,"FRANKLIN LAKES","NJ","BERGEN"
"07418","GLENWOOD, NJ",,"H",75,"H",587,"G",3773,34,"GLENWOOD","NJ","SUSSEX"
"07419","HAMBURG, NJ",,"H",1376,"G",11094,"G",48210,176,"HAMBURG","NJ","SUSSEX"
"07420","HASKELL, NJ",,"G",1198,"H",10671,"G",48747,106,"HASKELL","NJ","PASSAIC"
"07421","HEWITT, NJ",,"H",536,"H",3789,"H",18874,141,"HEWITT","NJ","PASSAIC"
"07422","HIGHLAND LAKES, NJ",,"G",145,"H",1256,"G",5859,40,"HIGHLAND LAKES","NJ","SUSSEX"
"07423","HO HO KUS, NJ",,"G",1005,"G",9416,"G",42033,154,"HO HO KUS","NJ","BERGEN"
"07424","LITTLE FALLS, NJ",,"G",9798,"G",145388,"G",610985,819,"LITTLE FALLS","NJ","PASSAIC"
"07428","MC AFEE, NJ",,"G",90,"G",656,"G",3024,16,"MC AFEE","NJ","SUSSEX"
"07430","MAHWAH, NJ",,"G",18040,"G",345063,"G",1249044,705,"MAHWAH","NJ","BERGEN"
"07432","MIDLAND PARK, NJ",,"G",3348,"G",34052,"G",155206,354,"MIDLAND PARK","NJ","BERGEN"
"07435","NEWFOUNDLAND, NJ",,"H",575,"H",4748,"H",21818,110,"NEWFOUNDLAND","NJ","PASSAIC"
"07436","OAKLAND, NJ",,"G",5415,"H",67239,"G",290862,415,"OAKLAND","NJ","BERGEN"
"07438","OAK RIDGE, NJ",,"G",1715,"H",17967,"H",76026,224,"OAK RIDGE","NJ","PASSAIC"
"07439","OGDENSBURG, NJ",,"H",141,"G",1215,"G",5548,27,"OGDENSBURG","NJ","SUSSEX"
"07440","PEQUANNOCK, NJ",,"G",464,"G",3234,"G",15020,103,"PEQUANNOCK","NJ","MORRIS"
"07442","POMPTON LAKES, NJ",,"G",1892,"H",14828,"G",62308,270,"POMPTON LAKES","NJ","PASSAIC"
"07444","POMPTON PLAINS, NJ",,"G",5354,"G",55478,"G",238403,339,"POMPTON PLAINS","NJ","MORRIS"
"07446","RAMSEY, NJ",,"G",9809,"G",123765,"G",543838,815,"RAMSEY","NJ","BERGEN"
